iter	Passed	Remaining
0	0	717
1	1	694
2	2	672
3	2	707
4	3	678
5	3	656
6	4	646
7	5	631
8	5	616
9	6	609
10	6	601
11	7	596
12	7	590
13	8	588
14	8	584
15	9	578
16	9	573
17	10	570
18	11	571
19	11	567
20	12	570
21	12	567
22	13	563
23	13	565
24	14	562
25	15	562
26	15	561
27	16	558
28	16	556
29	17	554
30	17	552
31	18	550
32	18	548
33	19	546
34	19	546
35	20	545
36	20	544
37	21	543
38	22	542
39	22	541
40	23	540
41	23	538
42	24	538
43	24	538
44	25	537
45	26	540
46	26	539
47	27	538
48	27	536
49	28	541
50	29	541
51	29	539
52	30	538
53	30	537
54	31	535
55	31	537
56	32	536
57	32	535
58	33	534
59	34	533
60	34	532
61	35	531
62	35	530
63	36	529
64	36	528
65	37	527
66	37	527
67	38	524
68	38	524
69	39	523
70	39	521
71	40	521
72	40	520
73	41	518
74	42	518
75	42	516
76	43	515
77	43	514
78	44	513
79	44	513
80	45	511
81	45	510
82	46	509
83	46	509
84	47	506
85	47	505
86	47	503
87	48	502
88	48	501
89	49	500
90	50	499
91	50	501
92	51	502
93	52	502
94	52	501
95	53	501
96	53	500
97	54	500
98	54	499
99	55	499
100	56	499
101	56	496
102	56	496
103	57	495
104	58	495
105	58	494
106	59	494
107	59	493
108	60	492
109	60	491
110	61	489
111	61	488
112	62	487
113	62	486
114	63	485
115	63	484
116	64	483
117	64	482
118	64	480
119	65	480
120	65	479
121	66	477
122	66	475
123	67	473
124	67	472
125	68	472
126	68	471
127	69	470
128	69	470
129	70	470
130	70	470
131	71	469
132	71	468
133	72	467
134	72	466
135	73	465
136	73	465
137	74	463
138	74	462
139	75	464
140	76	463
141	76	463
142	77	462
143	77	461
144	78	460
145	78	460
146	79	459
147	79	458
148	80	458
149	80	457
150	81	456
151	81	456
152	82	455
153	82	454
154	83	453
155	83	453
156	84	452
157	84	451
158	85	451
159	85	450
160	86	449
161	86	449
162	88	455
163	89	456
164	90	456
165	91	457
166	91	458
167	92	458
168	94	462
169	94	462
170	95	462
171	96	462
172	96	462
173	97	462
174	97	461
175	98	461
176	99	460
177	100	462
178	100	462
179	101	462
180	101	460
181	102	460
182	103	460
183	103	459
184	104	459
185	105	459
186	105	460
187	106	461
188	107	461
189	108	461
190	108	460
191	109	459
192	109	459
193	110	458
194	110	457
195	111	457
196	112	456
197	112	455
198	113	455
199	113	454
200	114	454
201	114	453
202	115	452
203	115	452
204	116	451
205	117	454
206	120	459
207	120	459
208	121	458
209	121	458
210	122	457
211	122	456
212	123	455
213	123	455
214	124	455
215	125	454
216	125	454
217	126	453
218	126	452
219	127	451
220	127	450
221	128	450
222	128	449
223	129	448
224	130	447
225	130	447
226	131	447
227	131	446
228	132	445
229	132	444
230	133	443
231	133	443
232	134	442
233	134	441
234	135	440
235	135	439
236	136	439
237	136	438
238	137	437
239	137	436
240	138	436
241	138	435
242	139	434
243	140	434
244	140	433
245	141	432
246	141	432
247	142	431
248	142	430
249	143	430
250	143	429
251	144	428
252	144	427
253	145	426
254	145	426
255	146	425
256	146	424
257	147	424
258	147	423
259	148	422
260	148	421
261	149	421
262	150	420
263	150	419
264	151	419
265	151	418
266	152	417
267	152	417
268	153	416
269	153	415
270	154	415
271	154	414
272	155	413
273	155	412
274	156	411
275	156	411
276	157	410
277	157	409
278	158	409
279	158	408
280	159	407
281	159	406
282	160	406
283	160	405
284	161	404
285	161	403
286	162	403
287	162	402
288	163	401
289	163	401
290	164	400
291	164	399
292	165	398
293	165	398
294	166	397
295	166	396
296	167	396
297	167	395
298	168	394
299	168	394
300	169	393
301	169	392
302	170	392
303	170	391
304	171	390
305	172	390
306	172	389
307	173	388
308	173	388
309	174	387
310	174	386
311	175	386
312	175	385
313	176	385
314	176	384
315	177	383
316	177	383
317	178	382
318	178	381
319	179	381
320	180	381
321	180	380
322	181	380
323	182	379
324	182	379
325	183	378
326	183	378
327	184	377
