iter	Passed	Remaining
0	141	141086
1	141	70801
2	142	47343
3	142	35595
4	143	28541
5	143	23838
6	144	20477
7	144	17959
8	145	16001
9	146	14455
10	146	13177
11	147	12111
12	147	11206
13	148	10429
14	148	9755
15	149	9164
16	149	8642
17	149	8179
18	150	7764
19	150	7390
20	151	7052
21	151	6746
22	152	6472
23	152	6216
24	153	5980
25	153	5762
26	154	5559
27	154	5370
28	155	5196
29	155	5034
30	156	4880
31	156	4737
32	157	4602
33	157	4476
34	158	4357
35	158	4249
36	159	4143
37	159	4043
38	160	3947
39	160	3856
40	161	3769
41	161	3686
42	162	3607
43	162	3531
44	163	3459
45	163	3390
46	163	3324
47	164	3262
48	165	3205
49	165	3146
50	166	3090
51	166	3036
52	167	2984
53	167	2933
54	167	2885
55	168	2838
56	168	2794
57	169	2750
58	169	2708
59	170	2667
60	170	2629
61	171	2592
62	171	2556
63	172	2521
64	172	2487
65	173	2453
66	173	2421
67	174	2390
68	175	2366
69	175	2337
70	176	2309
71	177	2285
72	177	2258
73	178	2233
74	179	2207
75	179	2182
76	179	2157
77	180	2132
78	180	2108
79	181	2085
80	181	2062
81	182	2040
82	182	2015
83	182	1994
84	183	1975
85	184	1955
86	184	1936
87	185	1917
88	185	1899
89	186	1881
90	186	1864
91	187	1846
92	187	1829
93	188	1812
94	188	1795
95	188	1779
96	189	1764
97	190	1749
98	190	1734
99	191	1719
100	191	1704
101	191	1690
102	192	1676
103	192	1662
104	193	1648
105	193	1635
106	194	1621
107	194	1608
108	195	1596
109	195	1584
110	196	1572
111	196	1560
112	197	1548
113	197	1536
114	198	1525
115	198	1513
116	199	1501
117	199	1490
118	199	1479
119	200	1469
120	200	1458
121	201	1447
122	201	1437
123	202	1428
124	202	1418
125	203	1409
126	203	1399
127	204	1390
128	204	1381
129	205	1372
130	205	1363
131	205	1354
132	206	1345
133	206	1337
134	207	1329
135	208	1321
136	208	1314
137	209	1305
138	209	1297
139	209	1289
140	210	1282
141	210	1273
142	211	1266
143	211	1258
144	212	1251
145	212	1244
146	213	1236
147	213	1229
148	214	1222
149	214	1216
150	215	1209
151	215	1202
152	216	1196
153	216	1189
154	216	1182
155	217	1176
156	217	1169
157	218	1163
158	218	1157
159	219	1151
160	219	1144
161	220	1138
162	220	1133
163	221	1127
164	221	1121
165	222	1115
166	222	1110
167	223	1104
168	223	1098
169	223	1093
170	224	1088
171	224	1082
172	225	1077
173	225	1072
174	226	1066
175	226	1062
176	227	1056
177	227	1051
178	228	1046
179	228	1042
180	229	1037
181	229	1032
182	230	1027
183	230	1022
184	231	1018
185	231	1013
186	232	1008
187	232	1004
188	233	1000
189	233	995
190	234	991
191	234	987
192	235	983
193	235	979
194	236	975
195	236	971
196	237	967
197	237	963
198	238	959
199	238	955
200	239	951
201	239	947
202	240	943
203	240	939
204	241	935
205	241	931
206	242	927
207	242	924
208	243	920
209	243	916
210	244	912
211	244	909
212	245	905
213	245	902
214	246	898
215	246	895
216	247	891
217	247	888
218	248	884
219	248	881
220	249	877
221	249	874
222	249	870
223	250	867
224	250	863
225	251	860
226	251	857
227	252	854
228	252	851
229	253	848
230	253	845
231	254	842
232	254	839
233	255	836
234	255	833
235	256	830
236	257	827
237	257	824
238	258	822
239	258	819
240	259	816
241	259	813
242	260	810
243	260	807
244	261	805
245	261	802
246	262	799
247	262	796
248	263	794
249	264	792
250	264	789
251	265	787
252	265	784
253	266	781
254	266	779
255	267	776
256	267	774
257	268	771
258	268	769
259	269	766
260	270	765
261	270	763
262	271	760
263	272	758
264	272	755
265	273	753
266	273	751
267	274	748
268	274	746
269	275	743
270	275	741
271	276	739
272	276	737
273	277	735
274	277	732
275	278	730
276	278	728
277	279	725
278	279	723
279	280	721
280	280	718
281	281	716
282	281	714
283	282	712
284	283	710
285	283	708
286	284	705
287	284	703
288	285	701
289	285	699
290	286	697
291	287	695
292	287	693
293	288	691
294	288	690
295	289	688
296	290	686
297	290	684
298	291	682
299	291	680
300	292	678
301	292	676
302	293	674
303	293	672
304	294	670
305	295	669
306	295	667
307	296	665
308	296	663
309	297	661
310	297	659
311	298	657
312	298	655
313	299	654
314	299	652
315	300	650
316	301	648
317	301	646
318	302	645
319	302	643
320	303	641
321	303	639
322	304	638
323	304	636
324	305	634
325	305	632
326	306	630
327	306	628
328	307	627
329	307	625
330	308	623
331	309	621
332	309	620
333	310	618
334	310	616
335	311	614
336	311	612
337	311	610
338	312	609
339	312	607
340	313	605
341	314	604
342	314	602
343	314	600
344	315	598
345	315	597
346	316	595
347	316	593
348	317	591
349	317	590
350	318	588
351	318	586
352	319	584
353	319	583
354	320	581
355	320	580
356	321	578
357	321	577
358	322	575
359	322	573
360	323	572
361	323	570
362	324	568
363	324	567
364	325	565
365	325	564
366	326	562
367	326	561
368	327	559
369	327	558
370	328	556
371	328	555
372	329	553
373	330	552
374	330	550
375	330	549
376	331	547
377	331	546
378	332	544
379	333	543
380	333	541
381	333	540
382	334	538
383	334	537
384	335	535
385	335	534
386	336	532
387	336	531
388	337	529
389	337	528
390	338	526
391	338	525
392	339	523
393	339	522
394	340	521
395	340	519
396	341	518
397	341	516
398	342	515
399	342	513
400	343	512
401	343	511
402	344	509
403	344	508
404	345	507
405	345	505
406	346	504
407	346	502
408	346	501
409	347	500
410	347	498
411	348	497
412	348	495
413	349	494
414	349	493
415	350	491
416	350	490
417	351	489
418	352	488
419	352	486
420	353	485
421	353	484
422	354	482
423	354	481
424	355	480
425	355	479
426	356	477
427	356	476
428	357	475
429	357	474
430	358	472
431	358	471
432	359	470
433	359	468
434	360	467
435	360	466
436	360	465
437	361	463
438	361	462
439	362	461
440	362	459
441	363	458
442	363	457
443	364	456
444	364	455
445	365	453
446	365	452
447	366	451
448	366	450
449	367	449
450	367	447
451	368	446
452	368	445
453	369	444
454	370	443
455	370	442
456	371	440
457	371	439
458	372	438
459	372	437
460	372	436
461	373	434
462	373	433
463	374	432
464	374	431
465	375	430
466	375	429
467	376	427
468	376	426
469	377	425
470	377	424
471	378	423
472	378	422
473	379	420
474	379	419
475	380	418
476	380	417
477	381	416
478	381	415
479	382	414
480	383	413
481	383	412
482	384	411
483	384	410
484	385	408
485	385	407
486	386	406
487	386	405
488	387	404
489	387	403
490	388	402
491	388	401
492	389	400
493	389	399
494	390	398
495	390	397
496	391	395
497	391	394
498	392	393
499	392	392
500	393	391
501	393	390
502	394	389
503	394	388
504	395	387
505	395	386
506	396	385
507	396	384
508	397	383
509	397	382
510	398	381
511	398	380
512	399	378
513	399	377
514	400	376
515	400	375
516	401	374
517	401	373
518	402	372
519	402	371
520	403	370
521	403	369
522	404	368
523	404	367
524	404	366
525	405	365
526	405	364
527	406	363
528	406	362
529	407	361
530	407	360
531	408	359
532	408	358
533	409	357
534	409	356
535	410	355
536	410	354
537	411	353
538	411	352
539	412	351
540	412	350
541	413	349
542	413	348
543	414	347
544	414	346
545	415	345
546	415	344
547	416	343
548	416	342
549	417	341
550	417	340
551	418	339
552	418	338
553	419	337
554	419	336
555	420	335
556	420	334
557	421	333
558	421	332
559	422	331
560	422	330
561	423	329
562	423	328
563	424	327
564	424	326
565	425	325
566	425	325
567	426	324
568	426	323
569	427	322
570	427	321
571	428	320
572	428	319
573	429	318
574	429	317
575	430	316
576	430	315
577	431	314
578	431	314
579	432	313
580	432	312
581	433	311
582	433	310
583	434	309
584	434	308
585	435	307
586	435	306
587	436	305
588	436	304
589	437	303
590	437	303
591	438	302
592	438	301
593	439	300
594	439	299
595	440	298
596	440	297
597	441	296
598	441	295
599	442	294
600	442	293
601	443	292
602	443	292
603	444	291
604	444	290
605	445	289
606	445	288
607	446	287
608	446	286
609	447	285
610	447	284
611	448	284
612	448	283
613	449	282
614	449	281
615	449	280
616	450	279
617	451	278
618	451	278
619	452	277
620	452	276
621	453	275
622	454	274
623	454	273
624	455	273
625	455	272
626	456	271
627	457	270
628	457	269
629	458	269
630	458	268
631	459	267
632	459	266
633	460	265
634	460	264
635	461	264
636	461	263
637	462	262
638	463	261
639	463	260
640	464	259
641	464	259
642	465	258
643	465	257
644	466	256
645	466	255
646	467	255
647	468	254
648	468	253
649	469	252
650	470	252
651	470	251
652	471	250
653	471	249
654	472	248
655	472	247
656	473	247
657	474	246
658	474	245
659	475	244
660	475	244
661	476	243
662	476	242
663	477	241
664	477	240
665	478	239
666	478	239
667	479	238
668	480	237
669	480	236
670	481	235
671	481	235
672	482	234
673	483	233
674	483	232
675	484	232
676	484	231
677	485	230
678	485	229
679	486	228
680	486	227
681	487	227
682	487	226
683	488	225
684	489	224
685	489	224
686	490	223
687	490	222
688	491	221
689	491	220
690	492	220
691	492	219
692	493	218
693	494	217
694	494	217
695	495	216
696	496	215
697	496	214
698	497	214
699	497	213
700	498	212
701	498	211
702	499	210
703	499	210
704	500	209
705	501	208
706	501	207
707	502	207
708	502	206
709	503	205
710	503	204
711	504	203
712	504	203
713	505	202
714	505	201
715	506	200
716	507	200
717	507	199
718	508	198
719	508	197
720	508	196
721	509	196
722	510	195
723	510	194
724	511	193
725	512	193
726	512	192
727	513	191
728	513	191
729	514	190
730	514	189
731	515	188
732	515	187
733	516	187
734	516	186
735	517	185
736	518	184
737	518	184
738	519	183
739	519	182
740	520	181
741	520	181
742	521	180
743	522	179
744	522	178
745	523	178
746	523	177
747	524	176
748	525	175
749	525	175
750	526	174
751	526	173
752	527	173
753	528	172
754	528	171
755	529	170
756	529	170
757	530	169
758	531	168
759	531	167
760	532	167
761	533	166
762	533	165
763	534	165
764	535	164
765	535	163
766	536	162
767	537	162
768	537	161
769	538	160
770	539	160
771	539	159
772	540	158
773	541	158
774	542	157
775	542	156
776	543	155
777	544	155
778	544	154
779	545	153
780	545	153
781	546	152
782	547	151
783	547	150
784	548	150
785	549	149
786	549	148
787	550	148
788	550	147
789	551	146
790	552	145
791	552	145
792	553	144
793	554	143
794	554	143
795	555	142
796	556	141
797	556	140
798	557	140
799	558	139
800	558	138
801	559	138
802	560	137
803	561	136
804	561	136
805	562	135
806	563	134
807	564	134
808	564	133
809	565	132
810	566	131
811	566	131
812	567	130
813	568	129
814	568	129
815	569	128
816	570	127
817	570	126
818	571	126
819	571	125
820	572	124
821	573	124
822	573	123
823	574	122
